Name,Voice Uniquiality
George W. Bush,2.6653120668191783
Barack Obama,2.6348520670166775
Franklin D. Roosevelt,2.5797975347164104
Bill Clinton,2.8050691586952743
George H. W. Bush,2.443583983167169
Richard M. Nixon,2.596284910020382
John F. Kennedy,2.6400595735260244
Lyndon B. Johnson,2.699089406520363
Jimmy Carter,2.866422848206191
Ronald Reagan,2.6071007626531078
