Name,Appearance Uniquiality
George W. Bush,62.24535245759747
Barack Obama,86.52932752541645
Franklin D. Roosevelt,74.01361211525553
Bill Clinton,69.28561636428223
George H. W. Bush,47.2474390540405
Richard M. Nixon,47.460769034379624
John F. Kennedy,58.329489033081046
Lyndon B. Johnson,83.60634801810649
Jimmy Carter,49.60499629106959
Ronald Reagan,78.92057079671218
